userName,score,at,content;;;;;;;
Pengguna Google,5,2021-10-23 02:00:07,5star;;;;;;;
"Pengguna Google,5,2021-10-23 01:59:59,""mantap, semakin mudah bertransaksi on line melaui tokopedia. trims""";;;;;;;
Pengguna Google,5,2021-10-23 01:54:44,Mantap;;;;;;;
Pengguna Google,5,2021-10-23 01:53:03,Ok;;;;;;;
Pengguna Google,5,2021-10-23 01:51:24,saya senang;;;;;;;
Pengguna Google,5,2021-10-23 01:50:33,Sangat membantu dan banyak yang murah harganya;;;;;;;
Pengguna Google,5,2021-10-23 01:50:28,sangat bagus;;;;;;;
"Pengguna Google,2,2021-10-23 01:50:24,""Saldo Tokopedia dengan gopay tidak bisa di pakai bayar bersamaan padahal total saldo cukup, kenapa jadi harus bayar lagi buat transaksi...yaaah ribet kurang praktis dan gak nambah fungsi""";;;;;;;
Pengguna Google,5,2021-10-23 01:49:55,good;;;;;;;
Pengguna Google,4,2021-10-23 01:45:14,perbanyak promo dan diskon;;;;;;;
Pengguna Google,5,2021-10-23 01:43:41,Sangat membantu haturnuhun tokopedia;;;;;;;
Pengguna Google,5,2021-10-23 01:42:26,Kok dari tadi menginstal ya ?? Tapi gk papa aku percaya sama tokopedia;;;;;;;
"Pengguna Google,5,2021-10-23 01:35:15,""Halo saya Suciarti , saya adalah peserta prakerja . Dan saya membeli pelatihan melalui mitra toko pedia . Saya sangat rekomendasikan kalian bagi peserta prakerja untuk membeli pelatihan melalui TOKOPEDIA Karena sangat mudah dan cepat . Terima Kasih TOKOPEDIA""";;;;;;;
Pengguna Google,5,2021-10-23 01:35:09,mantap;;;;;;;
"Pengguna Google,1,2021-10-23 01:34:11,""Gk jelas, ering membatalkan pesanan secara otomatis""";;;;;;;
"Pengguna Google,5,2021-10-23 01:32:21,""Ada bebrapa kesulitan di pembayaran,""";;;;;;;
Pengguna Google,5,2021-10-23 01:31:02,Mantap;;;;;;;
"Pengguna Google,4,2021-10-23 01:30:54,""Nyesel setelah update, bebas ongkir awalnya cuma 2rebu jadi 5rebu 🤣""";;;;;;;
