nama,rating,waktu,ulasan
Pengguna Google,5,2021-04-27 15:45:22,Senang dengan yang lebih baik
Pengguna Google,5,2021-04-07 16:30:11,Bagusss bgt apk nya❤️🥰🥰🥰🤩🤩🤩🤩
Pengguna Google,5,2021-03-31 07:16:48,nama. kardiman
Pengguna Google,5,2021-09-04 11:33:16,the best emang Tokopedia👍
Pengguna Google,5,2021-03-26 10:05:41,Wokkeee
Pengguna Google,5,2022-07-25 03:09:59,mantull
Pengguna Google,5,2023-10-05 04:40:33,oc
Pengguna Google,5,2022-04-25 14:54:28,"memudahkan untuk pembayaran, banyak promonya"
Pengguna Google,5,2021-11-26 08:49:24,mantap
Pengguna Google,1,2021-06-04 02:21:10,pengiriman sangat lama
Pengguna Google,5,2021-05-08 05:57:45,Saya sangat bangga bergabing disimi
Pengguna Google,5,2021-05-22 19:13:39,Lebih Baik Untuk Kedepanya😊
Pengguna Google,5,2021-09-03 15:19:39,mksh mas
Pengguna Google,1,2024-05-07 11:09:11,"Saya verifikasi data diri tapi tidak bisa, sudah bolak balik saya ajukan tetap tidak bisa tanpa alasan yg jelas, tanya ke CS tokped juga tidak ada solusi dan hanya mengulang bahasa ""verfikasi data diri anda tidak bisa dilanjutkan"".... helloooooo itu CS yg berikan solusi atau BOT sih....., sudah ditanyakan sampai 4 atau 5kali dan jawaban selalu "" Verifikasi data diri anda tidak bisa dilanjutkan""... hello tokped tolong sediakan kemudahan komunikasi yg lebih gampang, jgn bertele2"
Pengguna Google,5,2022-11-14 06:48:19,semoga lancar terus tokopedia
Pengguna Google,4,2022-03-23 12:44:56,kasih 4 dlu
Pengguna Google,5,2022-02-05 05:57:51,"Terbantu sekali, tp kl bisa perbaiki lagi biar gak lemot"
Pengguna Google,5,2021-11-09 07:45:47,Mantap banyakin promo ya
Pengguna Google,4,2024-03-22 03:24:42,Menambah pengalaman
Pengguna Google,5,2021-07-14 22:41:40,josss
Pengguna Google,5,2021-05-15 00:09:38,Alhamdulillah
Pengguna Google,1,2021-10-17 10:29:02,Saya pesen vr box kok gk ada remot nya ya ?
Pengguna Google,5,2021-05-26 05:20:15,oke
Pengguna Google,5,2022-02-14 16:56:31,mantap
Pengguna Google,5,2021-09-29 15:39:16,keren sih.....mudah murah dan cepat
Pengguna Google,5,2021-07-13 08:14:47,mantap... semangat brand lokal
Pengguna Google,1,2021-05-14 13:23:59,Tokopedia: Saya mau komplain Saya kan beli barang cod nah tapi pas bagian pembayaran tidak dapat cod tolong di perbaiki ya
Pengguna Google,5,2021-07-13 04:03:49,Bgus
Pengguna Google,5,2021-11-23 08:45:33,mantap baru download dapet barang gratis
Pengguna Google,5,2021-10-25 08:25:57,lumayan blnja grtis ongkir gratis 😍😍
Pengguna Google,1,2024-02-23 16:13:25,Sudah kapok pake layanan ini...
Pengguna Google,5,2022-12-19 04:29:21,AKU CINTA TOKOPEDIA
Pengguna Google,4,2022-04-15 01:27:45,Lumayan bagus lah........
Pengguna Google,1,2023-04-24 04:33:13,Apk penipu
Pengguna Google,5,2021-11-15 02:15:05,promonya mantappp
Pengguna Google,5,2021-05-18 04:59:56,Mantap
Pengguna Google,1,2023-12-14 11:11:43,"Gua udah bayar barangnya, udah keluar invoice barangnya ,dibatalin sama pihak tokped nya, kacau, kalo memang tidak memenuhi kriteria promo, pas check out kan bisa kuponnya nggak bisa dipake, ini udah dibayar loh, mending oren aja lebih jelas, nggak melebih lebihkan promo!!!"
Pengguna Google,5,2021-06-22 02:59:31,good
Pengguna Google,5,2021-05-19 13:27:52,Ok
Pengguna Google,5,2022-12-15 06:52:47,Baru nyoba semoga bagus beli di sini dan semoga murah murah
Pengguna Google,1,2023-04-09 05:50:00,Mohon kurir si cepat ditiadakan karena sering terjadi pengiriman di atas estimasi. Barang sudah keluar dari gudang sortir selama 2 hari tapi tidak juga dikirim ke alamat. Ini sangat mengecewakan apabila pihak Tokopedia tidak bertindak tegas terhadap Si Cepat. Pantas saja banyak yg memakai Shope daripada Tokopedia. Ternyata karena pengirimannya yang SANGAT LAMBAT.
Pengguna Google,5,2021-10-27 02:00:03,sangat mudah dan cepat
Pengguna Google,5,2021-03-31 20:43:52,sangat baik!
Pengguna Google,3,2021-08-05 00:54:05,"Troble terus 4 hari g bisa di buka,di update g bisa, di buka g bisa payah, padahal Internet full konek"
Pengguna Google,5,2021-06-05 18:57:07,Bagus
Pengguna Google,5,2022-02-15 04:04:21,bagus
Pengguna Google,5,2021-09-26 20:02:15,Terbaik
Pengguna Google,5,2021-03-31 06:48:18,bagus
Pengguna Google,5,2022-06-15 05:56:13,"Tolonglah tokped,,,saya sdh kasih rating untuk pembelian voucher skill academy,,tp blm juga dpt contreng hijau..jadinya sertifikat saya belum masuk ke list kartu prakerja saya 😫"
Pengguna Google,5,2023-08-20 05:17:27,Bagus👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Pengguna Google,5,2022-08-01 07:29:56,bagus tokoped cepet transaksi nya
Pengguna Google,1,2021-12-23 13:16:47,Ketika saya ingin update tidak bisa saya uninstal sekarang Tidak bisa download di hp vivo v15pro udh sebulan ketika mau download langsung eror playstore nya
Pengguna Google,5,2022-09-11 04:26:03,mantap
Pengguna Google,5,2021-05-04 11:49:03,selalu ada gratis ongkir nya jd suka belanja di tokopedia
Pengguna Google,5,2021-04-28 00:26:00,Keren
Pengguna Google,5,2021-04-29 12:09:53,👍
Pengguna Google,5,2021-03-31 07:45:58,saya sangant berterima kasih kepada tokepedia
Pengguna Google,5,2022-09-18 09:30:08,mantab
Pengguna Google,5,2021-10-28 21:57:18,layanan sangat bijaksana
Pengguna Google,5,2023-12-10 22:34:13,ok banget
Pengguna Google,5,2023-08-24 03:37:12,good
Pengguna Google,3,2021-06-21 11:47:45,Sangat baik dan sangat menguntungkan
Pengguna Google,5,2021-09-14 00:33:04,Semoga sukses selalu 😘😘👍👍produk produknya bagus ngga kalah keren 😍😗😍
Pengguna Google,5,2021-09-24 23:54:18,ok kali lah
Pengguna Google,5,2022-03-07 04:09:33,keren bgt
Pengguna Google,5,2023-09-15 15:00:00,good
Pengguna Google,1,2021-08-27 03:47:48,APLIKASI ANJING ASU!!!!!!
Pengguna Google,5,2021-11-15 13:52:30,mantul
Pengguna Google,5,2022-07-24 13:32:11,pengiriman lbh cpt ya
Pengguna Google,5,2022-07-03 09:30:19,gratis ongkir 0 rupiah gess
Pengguna Google,5,2024-04-24 05:16:36,"Sudah bagus sayang jasa pengiriman ga diseleksi, JNE jasa pengiriman paling buruk, kurir di daerah saya males mengantarkan barang, minta diambil sendiri ke gudang"
Pengguna Google,5,2022-07-08 02:29:24,Tokcer moncer kotos kotos
Pengguna Google,5,2021-11-09 16:48:44,good
Pengguna Google,5,2021-08-09 15:28:03,Coba dulu buat pelarian dr shopee soalnya dishopee saya kayak dianak tirikan oleh aplikasinya slalu keluhannya tidak ditanggapin
